lat,lon,zoom,title,content,image,attribution,alt_text
48.0061,0.1996,12,Birth of Henry II - Le Mans (County of Maine) 1133,"Henry of Anjou is born, future King of England and founder of the Angevin Empire. (Orderic Vitalis; Gesta Stephani)",1MatyldaAnglie.jpg,"medieval creator on the seal, previous to 1167, Matilda's death, Public domain, via Wikimedia Commons",
46.5802,0.3404,12,Marriage of Henry II and Eleanor of Aquitaine - Poitiers (Aquitaine) 1152,Marriage brings vast French territories under Angevin control. (John of Salisbury),2Eleonora_Jindra2.jpg,"Bibliothèque nationale de France, Public domain, via Wikimedia Commons",
51.6029,-1.1221,12,Treaty of Wallingford - Wallingford (England) 1153,"Stephen recognizes Henry of Anjou as heir, ending the Anarchy. (Anglo-Saxon Chronicle; William of Newburgh)",4Peterborough.Chronicle.firstpagetrimmed.jpg,"Peterborough.Chronicle.firstpage.jpg: en:User:Geogrederivative work: Hchc2009, Public domain, via Wikimedia Commons",
51.4994,-0.1275,12,"Coronation of Henry II - Westminster Abbey (London) December 19, 1154","Henry II crowned King of England, beginning Angevin rule. (Roger of Howden)",3Henry2_paris.jpg,"Matthew Paris, Public domain, via Wikimedia Commons",
53.1934,-2.8931,12,Treaty of Chester - Chester (England) 1157,"Scotland relinquishes claims over Northumberland, securing the northern border. (Roger of Howden)","5Malcolm_IV,_King_of_Scotland,_charter_to_Kelso_Abbey,_1159,_initial_(crop_Malcolm_IV).jpg","See page for author, Public domain, via Wikimedia Commons",
55.2,-2,12,Campaigns in Northumberland - Northumberland 1157,Henry II fortifies royal authority in the northern marcher counties. (William of Newburgh),11Henry_II_Penny.jpg,"Rasiel Suarez, Public domain, via Wikimedia Commons",
53.9599,-1.0873,12,Submission of the North / Northumbrian Barons' Submission - York/Northumberland 1157,Henry II forces submission of northern barons (including Northumbrian lords) after reclaiming region from Scottish control; marks end of near-autonomy post-Anarchy. (Roger of Howden),7Political_map_of_England_1153.svg.png,"Hchc2009, rowanwindwhistler, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons",
51.2798,1.0803,12,Becket made Archbishop of Canterbury - Canterbury 1162,"Henry appoints Thomas Becket, escalating church-state conflict. (Edward Grim)",8BecketHenryII.jpg,"Peter of  Langtoft, Public domain, via Wikimedia Commons",
51.3536,-1.5378,12,"Constitutions of Clarendon - Clarendon (Wiltshire) January 29, 1164. ",Henry II attempts to limit ecclesiastical privilege. (Roger of Howden),9Jindrich2_Beckett.jpg,"See page for author, Public domain, via Wikimedia Commons",
48.8566,2.3522,12,Exile of Thomas Becket - France 1164,"Becket flees England, widening the rift with the crown. (Herbert of Bosham)","10_960px-Henry_exiles_Becket's_kin_-_Becket_Leaves_(c.1220-1240),_f._1r_-_BL_Loan_MS_88.jpg","Matthew Paris, Public domain, via Wikimedia Commons",
