lat,lon,zoom,title,content,image,alt_text,attribution
37.730278,22.7575,Aeschylus,Agamemnon by Aeschylus: Palace of Agamemnon at Mycenae,,media/Palace_at_the_foot_of_Mount_Zara_660m.jpg,Palace of at the Foot of Mt. Zara,"Ken Russell Salvador, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
37.72682,22.75387,Aeschylus,Libation Bearers by Aeschylus: Palace and Tomb of Agamemnon at Mycenae,,media/1020px-Treasury_of_Atreus_Mycenae.jpg,Treasury of Atreus,"Ken Russell Salvador, CC BY 2.0 <https://creativecommons.org/licenses/by/2.0>, via Wikimedia Commons"
38.482222,22.501111,Aeschylus,Eumenides by Aeschylus: Delphi before the Temple of Apollo,,media/1084px-Delfi_Apollons_tempel.jpg,Temple of Apollo at Delphi,"Helen Simonsson, CC BY-SA 3.0 <https://creativecommons.org/licenses/by-sa/3.0>, via Wikimedia Commons"
37.9715,23.7249,Aeschylus,Eumenides by Aeschylus: Temple of Athena at the Acropolis,,media/1073px-Werner_Carl-Friedrich_-_The_Temple_of_Athena_Nike._View_from_the_North-East_-_Google_Art_Project.jpg,Temple of Athena Nike,"Benaki Museum, Public domain, via Wikimedia Commons"
32.1921,48.2487,Aeschylus,Persians by Aeschylus: Royal Palace and Tomb of Darius at Susa,,"media/History_of_Egypt,_Chaldea,_Syria,_Babylonia_and_Assyria_(1903)_(14584070300).jpg",Royal Palace,"Internet Archive Book Images, No restrictions, via Wikimedia Commons"
43.355,42.439167,Aeschylus,Prometheus Bound by Aeschylus: Mountain beyond the Precinct of Mortals,,"media/Prometheus_door_Vulcanus_geketend,_SK-A-1605.jpg",Prometheus Bound,"Dirck van Baburen, CC0, via Wikimedia Commons"
38.320833,23.317778,Aeschylus,Seven Against Thebes by Aeschylus: Thebes,,media/Eteocles_and_Polynices_-_Project_Gutenberg_eText_14994.jpg,Eteocles and Polynices,"Project Gutenberg, Public domain, via Wikimedia Commons"
37.5885762,22.73,Aeschylus,Suppliant Maidens by Aeschylus: Shore of Argos,,"media/Danaides_by_John_William_Waterhouse,_1903.jpg",Danaides,"John William Waterhouse, Public domain, via Wikimedia Commons"
39.9575,26.238889,Sophocles,Ajax by Sophocles: Troy,,media/Akhilleus_Patroklos_Antikensammlung_Berlin_F2278.jpg,Achilles and Patroclus,"Altes Museum, Public domain, via Wikimedia Commons"
38.320833,23.317778,Sophocles,Antigone by Sophocles: Palace of Thebes,,media/Lytras_nikiforos_antigone_polynices.jpg,Antigone and Polynices,"Nikiforos Lytras, Public domain, via Wikimedia Commons"
37.730278,22.7575,Sophocles,Electra by Sophocles: Palace of Mycenae,,media/1869_Frederic_Leighton_-_Electra_at_the_Tomb_of_Agamemnon.jpg,Electra at the Tomb of Agamemnon,"Frederic Leighton, Public domain, via Wikimedia Commons"
37.99907,23.721885,Sophocles,Oedipus at Colonus by Sophocles: Colonus,,media/Giroust_-_Oedipus_At_Colonus.jpg,Oedipus at Colonus,"Jean-Antoine-Théodore Giroust, Public domain, via Wikimedia Commons"
38.320833,23.317778,Sophocles,Oedipus Rex by Sophocles: King Oedipus’ Palace in Thebes,,media/IngresOdipusAndSphinx.jpg,Oedipus and the Sphinx,"Jean Auguste Dominique Ingres, Public domain, via Wikimedia Commons"
39.97952,25.3409,Sophocles,Philoktetes by Sophocles: Lemnos at Philoktetes Cave,,"media/Philoctetes_cave,_Lemnos.jpg",Philoctetes Cave at Lemnos,"TB5050 15:17, 18 Φεβρουαρίου 2008 (UTC), Attribution, via Wikimedia Commons"
38.79077,22.4425,Sophocles,Women of Trachis by Sophocles: Heracles' Palace in Trachis,,"media/Deianera,jpg",Deianera,"Evelyn De Morgan, Public domain, via Wikimedia Commons"
39.384163,22.737728,Euripedes,Alcestis by Euripedes: Admetus’ Palace at Pherae,,"media/Hercules_Wrestling_with_Death_for_the_Body_of_Alcestis,_by_Frederic_Lord_Leighton,_England,_c._1869-1871,_oil_on_canvas_-_Wadsworth_Atheneum_-_Hartford,_CT_-_DSC05068.jpg",Hercules Wrestling for Body of Alcestis,"Daderot, Public domain, via Wikimedia Commons"
38.9,22.533333,Euripedes,Andromache by Euripedes: Temple of Thetis in Phthia,,media/Andromache-Captive.jpg,Andromache Captive,"Frederic Leighton, Public domain, via Wikimedia Commons"
38.320833,23.317778,Euripedes,Bacchae by Euripedes: Royal Palace of Thebes,,media/Hecuba.jpg,Hecuba,"Giuseppe Maria Crespi, Public domain, via Wikimedia Commons"
37.755,14.995,Euripedes,Cyclops by Euripedes: Sicily at Mount Aetna,,media/Head_of_a_Cyclops_Colosseum.jpg,Head of a Cyclopes,"Steven Lek, CC BY-SA 4.0 <https://creativecommons.org/licenses/by-sa/4.0>, via Wikimedia Commons"
37.8,22.75,Euripedes,Elektra by Euripedes: Rural Argos,,media/1784_Tischbein_Trauernde_Elektra_anagoria.jpg,Electra,"Johann Heinrich Tischbein, Public domain, via Wikimedia Commons"
40.35,26.466667,Euripedes,Hekabe by Euripedes: Agamemnon's Camp,,media/Hecuba.jpg,Hecuba,"Giuseppe Maria Crespi, Public domain, via Wikimedia Commons"
31.213889,29.885556,Euripedes,Helen by Euripedes: Palace of Theoclymenos at Pharos,,media/Guido_Reni_(1575-1642)_(after)_-_Head_of_Helen_of_Troy_-_1140146_-_National_Trust.jpg,Helen of Troy,"National Trust, Public domain, via Wikimedia Commons"
