lat,lon,zoom,title,content,image,attribution,alt_text
50.55,-2.44,12,"First recorded Viking raid - Isle of Portland, Dorset 789","This is the earliest documented Viking encounter in England per the Anglo-Saxon Chronicle: three ships (likely Norwegian) landed, and a royal official (Beaduheard) was killed after a misunderstanding. It predates the more famous 793 raid.",media/PortlandCoast.jpg,"By Wilson44691 at English Wikipedia - Photograph taken by Mark A. Wilson (Department of Geology, The College of Wooster).[1], Public Domain, https://commons.wikimedia.org/w/index.php?curid=3796792",Portland Coast
55.68,-1.8025,12,"Raid on Lindisfarne monastery - Holy Island, Northumberland 793","The sack of Lindisfarne (Holy Island) on 8 June 793 is iconic, often marking the symbolic start of the Viking Age in Britain due to its shock value and detailed contemporary accounts.",media/Holy_Island_Sunrise_(again)_(15064111624).jpg,"By Chris Combe from York, UK - Holy Island Sunrise (again), CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=42080816",Holy Island at Dawn
54.981389,-1.49,12,"Raid on Jarrow - St Paul’s Monastery, Jarrow, Tyne and Wear 794","Follow-up raids hit Northumbrian monasteries, including Jarrow (associated with Bede) in 794.",media/St_Pauls_Monastery_Jarrow.jpg,"By Mark Smiles, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=4528346",St. Paul's Ruins
51.35,1.383333,12,"First Viking winter camp - Isle of Thanet, Kent 850","Vikings overwintered on Thanet (then an island) around this time, a shift from hit-and-run raids to longer stays.",media/330px-OldMapKent.jpg,"By S. R. Gardiner (d. 1902) - A School Atlas Of English History, Longmans, Green, 1892, Public Domain, https://commons.wikimedia.org/w/index.php?curid=4174443",Map of Old 
51.35,1.383333,12,Great Heathen Army lands - Isle of Thanet (Kent) before crossing to East Anglia 865,"The Great Heathen Army (a large Danish-led force) landed on Thanet in late 865, extracted tribute, then moved into East Anglia for horses and further campaigns.",media/England_Great_Army_map.svg.png,"By Hel-hama - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=20042870",Battles of the Great Heathen Army
53.96,-1.08,12,"Vikings capture York - Eboracum (Roman York), North Yorkshire 866",York (Jorvik) fell on 1 November 866 to the Great Army.,media/Kingdom_of_Jórvik.svg.png,"By Yorkshirian at English Wikipedia - File:Kingdom of Jorvik.png, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=61453191",Viking York
53.96,-1.08,12,Battle of York - Within the city walls of York 867,Northumbrian forces attempted to retake York but were defeated inside or at the walls.,media/500px-Multangular_tower.jpg,"ChrisO, Public domain, via Wikimedia Commons",Ancient York Tower
52.41,0.74,12,"King Edmund killed - Thetford, Norfolk (traditional site) 869","King Edmund of East Anglia was killed/martyred by Vikings; Thetford is the commonly cited traditional location, though exact details vary in sources.",media/The_Death_of_Edmund_Ironside_in_the_Cambridge_University_Library.jpg,"By Matthew Paris - https://cudl.lib.cam.ac.uk/view/MS-EE-00003-00059/15, Public Domain, https://commons.wikimedia.org/w/index.php?curid=135510122",Death of Edmund by Matthew Paris
51.528908,-1.216389,12,"Battle of Ashdown - Likely Lowbury Hill or Kingstanding Hill, Berkshire Downs 871","Alfred (then prince) and his brother Æthelred defeated Vikings; the precise site is uncertain but often placed in the Berkshire Downs area (e.g., Lowbury Hill or nearby).",media/960px-Battle_of_Ashdown.jpg,"By Richard Doyle (died 1883) - Hughes, T (1859). Scouring the White Horse; Or, the Long Vacation Ramble of a London Clerk., Public Domain, https://commons.wikimedia.org/w/index.php?curid=65467313",19th Century Depiction of the Battle of Ashdown
52.841308,-1.55102,12,"Vikings camp for winter - Repton Abbey, Derbyshire (site of a mass Viking grave) 873",The Great Army wintered at Repton; archaeological evidence includes a mass grave of Viking warriors.,media/Saxon_crypt_at_Repton_-_geograph.org.uk_-_1089547.jpg,"By James Yardley, CC BY-SA 2.0, https://commons.wikimedia.org/w/index.php?curid=13793544",Repton Abbey Crypt
55.010278,-1.418889,12,Viking settlement begins - Primarily the Tyne valley and Yorkshire 876,"Permanent settlements expanded in northern/eastern England (e.g., Northumbria/Yorkshire) around this period, leading to the Danelaw.",media/Source_of_the_River_North_Tyne.jpg,"By Taras Young - Own work, CC BY-SA 4.0, https://commons.wikimedia.org/w/index.php?curid=117596025",A stone marker shows the source of the River North Tyne
51.263889,-2.142778,12,"Battle of Edington - Bratton Camp (hillfort) or Edington village, Wiltshire 878",Alfred's decisive victory over Guthrum; site is debated but often linked to Edington or nearby Bratton Camp hillfort.,media/King_Alfred's_Tower_(4546584778).jpg,"By Marilyn Peddle from England - King Alfred's Tower, CC BY 2.0, https://commons.wikimedia.org/w/index.php?curid=95989707","King Alfred's Tower, Mustering Spot"
51.226,-2.81,12,"Treaty of Wedmore - Aller (baptism site) and Wedmore, Somerset 878","After Edington, Guthrum was baptized at Aller (near Athelney), with confirmation/rituals at Wedmore; this led to the Treaty (or ""Peace"") of Wedmore, establishing boundaries (Danelaw).",media/Illas_Britanicas_(vèrs_la_fin_dau_sègle_IX).jpg,"By Nicolas Eynaud - Own work, CC BY-SA 3.0, https://commons.wikimedia.org/w/index.php?curid=25576919",Map showing the Danelaw
51.515556,-0.093056,12,Alfred captures London - The City of London (Roman Lundeneburh) 886,"Alfred retook London from Viking control, marking a key recovery.",media/Engraving_of_King_Alfred_the_Great_by_George_Vertue_for_Rapin's_History_of_England.png,[[File:Engraving of King Alfred the Great by George Vertue for Rapin's History of England.png|Engraving of King Alfred the Great by George Vertue for Tindal's translation of Rapin's History of England.,Engraving of King Alfred
53.336,-2.978,12,"Battle of Brunanburh - Often identified as Bromborough, Wirral 937","Athelstan's victory over a coalition (Scots, Strathclyde, Vikings); the location is heavily debated, but Bromborough (Wirral) is a leading scholarly candidate due to linguistic and strategic fit, though alternatives (e.g., elsewhere in northern England) exist.","media/Alfred_Pearseː_The_great_battle_of_Brunanburh_in_937_(Hutchinsons_Story_of_the_British_Nation,_1922).jpg","Alfred Pearseː The great battle of Brunanburh in 937 (Hutchinsons Story of the British Nation, 1922).jpg",Battle of Brunanburh
54.527879,-2.259772,12,"Death of Eric Bloodaxe - Stainmore Pass, on the border of Cumbria and Durham 954",Eric (last Viking king of York/Jorvik) was killed at Stainmore (or nearby).,media/Eric-Rex-coins.jpg,"By Clarendon Press (photographer not named) - https://archive.org/details/handbookofcoinso00brituoft, Public Domain, https://commons.wikimedia.org/w/index.php?curid=5994943",Coin of Erik Rex
51.715278,0.700833,12,"Battle of Maldon - Northey Island and the causeway, Essex 991",Famous from the poem The Battle of Maldon; Vikings defeated Byrhtnoth's forces at the causeway to Northey Island.,"media/Battle_of_Maldon_in_991_(Hutchinson%27s_Story_of_the_British_Nation,_1922).jpg","Alfred Pearse, Public domain, via Wikimedia Commons",Battle of Maldon
53.4016,-0.7732,12,"Sweyn recognized as King - Gainsborough, Lincolnshire (his base of operations) 1013",Sweyn Forkbeard conquered much of England; Gainsborough was a key base where he received submissions.,media/640px-Sweyn_Forkbeard_02.jpg,"Anonymus (The Life of King Edward the Confessor), Public domain, via Wikimedia Commons",Sweyn Forkbeard from the Life of Edward the Confessor
51.515556,-0.093056,12,Cnut becomes King - London (following the Battle of Assandun in Essex) 1016,"After Assandun (near Ashingdon, Essex), Cnut (Canute) secured the throne and was recognized in London.",media/Ashingdon_Hilltop.jpg,David Kemp / Hilltop near Ashingdon,Hilltop at Ashingdon
53.9925,-0.9125,12,"Battle of Stamford Bridge, River Derwent crossing - Stamford Bridge, East Riding of Yorkshire 1066",Harald Hardrada's invasion ended here; English forces under Harold Godwinson defeated the Vikings at the Derwent crossing.,"media/Battle_of_Stamford_Bridge,_full.png","By Matthew Paris - http://cudl.lib.cam.ac.uk/view/MS-EE-00003-00059/1, Public Domain, https://commons.wikimedia.org/w/index.php?curid=21914431",Battle of Stamford by Matthew Pairs
